Segment,x in (m),x out (m),x mid (m),Brine in (C),Brine out (C),Permeate in (C),Permeate out (C),Permeate avg (C),Delta T (C),Delta T_th (C)
1,0.0,0.02,0.01,60.0,57.95,55.57,57.49,56.53,3.469,0.47
2,0.02,0.04,0.03,57.95,56.0,53.73,55.57,54.65,3.302,0.465
3,0.04,0.06,0.05,56.0,54.15,51.99,53.73,52.86,3.142,0.46
4,0.06,0.08,0.07,54.15,52.39,50.34,51.99,51.16,2.988,0.456
5,0.08,0.1,0.09,52.39,50.72,48.77,50.34,49.55,2.841,0.452
6,0.1,0.12,0.11,50.72,49.14,47.28,48.77,48.02,2.7,0.448
7,0.12,0.14,0.13,49.14,47.64,45.87,47.28,46.58,2.565,0.445
8,0.14,0.16,0.15,47.64,46.22,44.54,45.87,45.21,2.436,0.441
9,0.16,0.18,0.17,46.22,44.88,43.28,44.54,43.91,2.314,0.438
10,0.18,0.2,0.19,44.88,43.61,42.09,43.28,42.68,2.197,0.435
11,0.2,0.22,0.21,43.61,42.42,40.97,42.09,41.53,2.086,0.432
12,0.22,0.24,0.23,42.42,41.28,39.9,40.97,40.44,1.98,0.429
13,0.24,0.26,0.25,41.28,40.22,38.9,39.9,39.4,1.88,0.426
14,0.26,0.28,0.27,40.22,39.21,37.96,38.9,38.43,1.785,0.423
15,0.28,0.3,0.29,39.21,38.27,37.07,37.96,37.52,1.695,0.421
16,0.3,0.32,0.31,38.27,37.37,36.24,37.07,36.66,1.609,0.419
17,0.32,0.34,0.33,37.37,36.54,35.45,36.24,35.85,1.529,0.417
18,0.34,0.36,0.35,36.54,35.75,34.71,35.45,35.08,1.453,0.415
19,0.36,0.38,0.37,35.75,35.0,34.02,34.71,34.37,1.381,0.413
20,0.38,0.4,0.39,35.0,34.31,33.37,34.02,33.69,1.313,0.411
21,0.4,0.42,0.41,34.31,33.65,32.75,33.37,33.06,1.249,0.409
22,0.42,0.44,0.43,33.65,33.04,32.18,32.75,32.46,1.188,0.408
23,0.44,0.46,0.45,33.04,32.46,31.64,32.18,31.91,1.132,0.406
24,0.46,0.48,0.47,32.46,31.92,31.13,31.64,31.38,1.078,0.405
25,0.48,0.5,0.49,31.92,31.41,30.65,31.13,30.89,1.028,0.403
26,0.5,0.52,0.51,31.41,30.93,30.21,30.65,30.43,0.98,0.402
27,0.52,0.54,0.53,30.93,30.49,29.79,30.21,30.0,0.936,0.401
28,0.54,0.56,0.55,30.49,30.07,29.4,29.79,29.59,0.894,0.4
29,0.56,0.58,0.57,30.07,29.68,29.03,29.4,29.21,0.855,0.399
30,0.58,0.6,0.59,29.68,29.31,28.69,29.03,28.86,0.818,0.398
31,0.6,0.62,0.61,29.31,28.96,28.36,28.69,28.52,0.783,0.397
32,0.62,0.64,0.63,28.96,28.64,28.06,28.36,28.21,0.751,0.396
33,0.64,0.66,0.65,28.64,28.34,27.78,28.06,27.92,0.72,0.395
34,0.66,0.68,0.67,28.34,28.06,27.51,27.78,27.65,0.692,0.394
35,0.68,0.7,0.69,28.06,27.79,27.27,27.51,27.39,0.665,0.394
36,0.7,0.72,0.71,27.79,27.54,27.04,27.27,27.15,0.64,0.393
37,0.72,0.74,0.73,27.54,27.31,26.82,27.04,26.93,0.616,0.392
38,0.74,0.76,0.75,27.31,27.1,26.62,26.82,26.72,0.594,0.392
39,0.76,0.78,0.77,27.1,26.89,26.43,26.62,26.52,0.574,0.391
40,0.78,0.8,0.79,26.89,26.7,26.25,26.43,26.34,0.555,0.391
41,0.8,0.82,0.81,26.7,26.53,26.08,26.25,26.17,0.536,0.39
42,0.82,0.84,0.83,26.53,26.36,25.93,26.08,26.01,0.52,0.39
43,0.84,0.86,0.85,26.36,26.2,25.78,25.93,25.86,0.504,0.389
44,0.86,0.88,0.87,26.2,26.06,25.65,25.78,25.72,0.489,0.389
45,0.88,0.9,0.89,26.06,25.92,25.52,25.65,25.58,0.475,0.388
46,0.9,0.92,0.91,25.92,25.8,25.4,25.52,25.46,0.462,0.388
47,0.92,0.94,0.93,25.8,25.68,25.29,25.4,25.35,0.45,0.388
48,0.94,0.96,0.95,25.68,25.57,25.19,25.29,25.24,0.439,0.387
49,0.96,0.98,0.97,25.57,25.46,25.09,25.19,25.14,0.428,0.387
50,0.98,1.0,0.99,25.46,25.37,25.0,25.09,25.05,0.418,0.387
